Year,Mandal,June,July,Aug,Sept,Total
2009,Malkajgiri,94.8,96.2,354.2,188.6,733.8
2010,Malkajgiri,106.6,316,431,178.8,1032.4
2011,Malkajgiri,46,185.2,221.2,52.8,505.2
2012,Malkajgiri,165.8,250.4,135.4,123,674.6
2013,Malkajgiri,131.4,253.4,84.6,206,675.4
2014,Malkajgiri,50.6,106.8,186,85.6,429
2015,Malkajgiri,188.2,66,59.2,181.2,494.6
2016,Malkajgiri,90.8,160.4,103,499.4,853.6
2004,Uppal,151.8,269.7,41.5,20.6,483.6
2005,Uppal,72.8,371.2,124,232.8,800.8
2006,Uppal,68.6,171.6,207.4,122.6,570.2
2007,Uppal,126.4,74.4,158.2,217.8,576.8
2008,Uppal,70.6,81.8,477.8,241.4,871.6
2009,Uppal,124,58.4,274,126.8,583.2
2010,Uppal,135.8,257.2,155.4,107.6,656
2011,Uppal,39.8,170.8,200.6,115.4,526.6
2012,Uppal,145.8,237.2,134.4,69.6,587
2013,Uppal,162.4,222.4,115.4,177.7,677.9
2014,Uppal,36.6,62.6,84,60.2,243.4
2015,Uppal,158.4,55.6,66.4,152.2,432.6
2016,Uppal,116.2,108.4,117,416.6,758.2
2004,Medipally,247.4,312,84.2,91,734.6
2005,Medipally,68.2,368.6,143.4,218,798.2
2006,Medipally,142,127.2,241.7,162.3,673.2
2007,Medipally,198.8,91,390,228.6,908.4
2008,Medipally,93.2,111.4,510.4,222.4,937.4
2009,Medipally,91,103,266.6,196.4,657
2010,Medipally,108.6,322.8,360,233.6,1025
2011,Medipally,85.4,236.2,247.8,37.4,606.8
2012,Medipally,73.4,204.6,90.4,120.6,489
2013,Medipally,75.6,194.6,55.2,137.6,463
2014,Medipally,33.2,67.6,107.8,38.2,246.8
2015,Medipally,148.4,33.4,43.6,219.4,444.8
2016,Medipally,120.4,120.8,160.4,398.4,800
2004,Kapra,112.8,204.9,55.6,60.2,433.5
2005,Kapra,75.2,377.8,99.9,257,809.9
2006,Kapra,145.6,104.6,242.7,165.6,658.5
2007,Kapra,156.2,27.5,256.6,193.6,633.9
2008,Kapra,97,116.4,331.8,129,674.2
2009,Kapra,32.8,49.1,148.6,212.8,443.3
2010,Kapra,112,226.6,287.6,182,808.2
2011,Kapra,76.4,144.8,128.6,8.2,358
2012,Kapra,88.2,229.4,40.2,114.6,472.4
2013,Kapra,51.4,114.8,37.2,86.6,290
2014,Kapra,9.8,95.4,172.8,63.6,341.6
2015,Kapra,139,55.4,55.4,213.8,463.6
2016,Kapra,94.4,113.8,127.6,549.2,885
2004,Shamirpet,5,162.8,37,54,258.8
2005,Shamirpet,40,238.4,63,144,485.4
2006,Shamirpet,50,79,119,124,372
2007,Shamirpet,95,15,77,215.6,402.6
2008,Shamirpet,42.4,101,354.4,139,636.8
2009,Shamirpet,24,14,197,164,399
2010,Shamirpet,38,96.8,230.4,76.2,441.4
2011,Shamirpet,24.6,122.8,90.6,31.4,269.4
2012,Shamirpet,69.2,189,71.6,96,425.8
2013,Shamirpet,80.8,115.6,52.4,100.8,349.6
2014,Shamirpet,15,96.2,153,31.2,295.4
2015,Shamirpet,110,27.6,69.6,93.2,300.4
2016,Shamirpet,72.4,129.4,99,544.4,845.2
2004,Keesara,112.8,204.9,55.6,60.2,433.5
2005,Keesara,75.2,377.8,99.9,257,809.9
2006,Keesara,145.6,104.6,242.7,165.6,658.5
2007,Keesara,156.2,27.5,256.6,193.6,633.9
2008,Keesara,97,116.4,331.8,129,674.2
2009,Keesara,32.8,49.1,148.6,212.8,443.3
2010,Keesara,112,226.6,287.6,182,808.2
2011,Keesara,76.4,144.8,128.6,8.2,358
2012,Keesara,88.2,229.4,40.2,114.6,472.4
2013,Keesara,51.4,114.8,37.2,86.6,290
2014,Keesara,9.8,95.4,172.8,63.6,341.6
2015,Keesara,139,55.4,55.4,213.8,463.6
2016,Keesara,94.4,113.8,127.6,549.2,885
2004,Ghatkesar,247.4,312,84.2,91,734.6
2005,Ghatkesar,68.2,368.6,143.4,218,798.2
2006,Ghatkesar,142,127.2,241.7,162.3,673.2
2007,Ghatkesar,198.8,91,390,228.6,908.4
2008,Ghatkesar,93.2,111.4,510.4,222.4,937.4
2009,Ghatkesar,91,103,266.6,196.4,657
2010,Ghatkesar,108.6,322.8,360,233.6,1025
2011,Ghatkesar,85.4,236.2,247.8,37.4,606.8
2012,Ghatkesar,73.4,204.6,90.4,120.6,489
2013,Ghatkesar,75.6,194.6,55.2,137.6,463
2014,Ghatkesar,33.2,67.6,107.8,38.2,246.8
2015,Ghatkesar,148.4,33.4,43.6,219.4,444.8
2016,Ghatkesar,120.4,120.8,160.4,398.4,800
