NIC code,Division Description,Group Description,Reg.No,Name of the factory,H.P.,Men,Women,Total,Max. Empt.,Ave. Empt.
24202,Manufacture of basic metals,Manufacture of basic precious and other non-ferrous metals,97155,J V Castings,241,15,0,15,20,15
16213,Manufacture of wood and products of wood and cork,Manufacture of products of wood,97262,Standard Doors,76,50,0,50,50,50
22203,Manufacture of rubber and plastics products,Manufacture of plastics products,97526,SM Rotoflex Pvt. Ltd.,488,18,6,24,50,24
24320,Manufacture of basic metals,Casting of metals,97532,Lotus Aluminium Pvt. Ltd.,153,16,1,17,20,17
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97611,Neo Seeds India Ltd.,30,28,3,31,50,31
18119,Printing and reproduction of recorded media,Printing and service activities related to printing,97626,Odin Press Pvt. Ltd.,79,35,5,40,50,40
25991,Manufacture of fabricated metal products,Manufacture of other fabricated metal products; metalworking service,97631,Shivam Industries,150,10,5,15,20,15
17012,Manufacture of paper and paper products,Manufacture of paper and paper products,35962,"A.G.A Publicaiton Ltd.,",321,60,0,60,100,60
18112,Printing and reproduction of recorded media,Printing and service activities related to printing,97673,Sri Lakshmi Narayana Book Binder Pvt. Ltd.,74,73,0,73,100,73
10732,Manufacture of food products,Manufacture of other food products,97843,Kayempee Foods Pvt. Ltd.,600,60,20,80,250,80
31005,Manufacture of furniture,Manufacture of furniture,97900,"Fortune Foam Pvt. Ltd.,",981,180,20,200,250,200
24202,Manufacture of basic metals,Manufacture of basic precious and other non-ferrous metals,97911,Sagar Asia Pvt. Ltd.,8,23,0,23,50,23
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97881,"SVAS Agrotech Pvt. Ltd.,",90,9,6,15,20,15
20211,Manufacture of chemicals and chemical products,Manufacture of other chemical products,67081,Agasthy Agro Ltd.,135,21,0,21,50,21
10612,Manufacture of food products,Manufacture of grain mill products,67324,Sree Chandrasekhara BMR Mill,74,3,0,3,9,3
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,67922,Bharathi Agro Enterprises ,1186,116,16,132,150,132
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,67923,Syngenta India Ltd.,1400.08,237,20,257,500,257
24109,Manufacture of basic metals,Manufacture of basic iron and steel,97020,Grip Strapping Technologies Pvt. Ltd.,1500,120,0,120,150,120
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97044,Bharathi Brahma Seeds,152 KV,15,10,25,50,25
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97045,Bharathi Agro Tech,163 KV,15,10,25,50,25
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97108,Bharathi Enterprises,246,12,1,13,20,13
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97238,Bharathi Meena Seeds,162,60,20,80,100,80
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97239,Saraswathi Seeds,133,30,10,40,50,40
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97299,Bramha Agro Industries,71,20,12,32,50,32
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97356,Ultra Reach Agri Markets Ltd.,106,10,10,20,20,20
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97357,Chenai Seeds & Oils Ltd.,310,10,20,30,50,30
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97802,Raja Rajeshwari Seeds,300,35,0,35,50,35
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97811,SM Pakala,49,16,0,16,20,16
10309,Manufacture of food products,Processing and preserving of fruit and vegetables,97812,VLN Cold Storage,375,20,0,20,20,20
24319,Manufacture of basic metals,Casting of metals,67598,Megacity Moulding,30,21,0,21,50,21
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,67645,Sam Agritech Ltd.,84,77,25,102,150,102
10802,Manufacture of food products,Manufacture of prepared animal feeds,67674,Sneha Farms Pvt. Ltd.,1288,45,10,55,100,55
10802,Manufacture of food products,Manufacture of prepared animal feeds,67953,Diamond Hitech Poultry Feeds Pvt. Ltd.,629,25,0,25,50,25
