NIC code,Division Description,Group Description,Reg.No,Name of the factory,H.P.,Men,Women,Total,Max. Empt.,Ave. Empt.
22203,Manufacture of rubber and plastics products,Manufacture of plastics products,97442,Lorven Flex & Sack India Pvt. Ltd.,750,152,0,152,250,152
25920,Manufacture of fabricated metal products,Manufacture of other fabricated metal products; metalworking service,97471,MRC I Clean Systems Pvt. Ltd.,29,50,0,50,50,50
17011,Manufacture of paper and paper products,Manufacture of paper and paper products,30634,Sri Shyam Paper Process,24,8,7,15,20,15
17011,Manufacture of paper and paper products,Manufacture of paper and paper products,68816,R R Pulp Packages,74,50,10,60,100,60
10732,Manufacture of food products,Manufacture of other food products,97504,Sresta Natural Bioproducts Pvt. Ltd.,321,10,35,45,150,45
31001,Manufacture of furniture,Manufacture of furniture,97537,JVR Interiors Pvt. Ltd.,235,40,10,50,50,50
10732,Manufacture of food products,Manufacture of other food products,97608,Inbisco India Pvt. Ltd.,2135KW,525,20,545,1000,545
17011,Manufacture of paper and paper products,Manufacture of paper and paper products,39363,Ballarpur Industries Ltd,"40,179",1400,100,1500,1500,1000
13139,Manufacture of textiles,Spinning,97652,Bella Vista International Fashions pvt.ltd,74,55,8,63,100,63
22209,Manufacture of rubber and plastics products,Manufacture of plastics products,97805,Stick Mail Products Pvt.Ltd,80,14,0,14,20,14
18119,Printing and reproduction of recorded media,Printing and service activities related to printing,97821,Positive Flexo Pack Pvt.Ltd,230,20,0,20,20,20
43301,Specialized construction activities,Building completion and finishing,97831,Himshitsu Manufacturing Pvt. Ltd.,108,40,0,40,50,40
17012,Manufacture of paper and paper products,Manufacture of paper and paper products,34002,"The Sirpur Paper Mills Ltd,  Skz",52871,3500,43,3543,5000,3543
27102,Manufacture of electrical equipment,Manufacture of electric motors,97871,"Manu Power Equipment Pvt. Ltd.,",200,72,0,72,100,72
10501,Manufacture of food products,Manufacture of dairy products,97882,Sri Vidya Dairy,250,18,0,18,20,18
10719,Manufacture of food products,Manufacture of other food products,97885,"Apricot Foods Pvt. Ltd.,",186.5,18,0,18,20,18
10799,Manufacture of food products,Manufacture of other food products,97901,Allivm Foods Pvt. Ltd.,23,8,7,15,20,15
20294,Manufacture of chemicals and chemical products,Manufacture of other chemical products,97909,Plaster Poly Film,232,11,0,11,20,11
22209,Manufacture of rubber and plastics products,Manufacture of plastics products,97910,Hyderabad Flexible Packaging Industry,292,9,3,12,20,12
29201,Manufacture of motor vehicles,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,97692,Hitech Coach Builders,30,18,0,18,20,18
25920,Manufacture of fabricated metal products,Manufacture of other fabricated metal products; metalworking service,97716,Patny Systems Pvt. Ltd.,95,15,0,15,20,15
31003,Manufacture of furniture,Manufacture of furniture,97733,Vesar Furnitek Pvt. Ltd.,28,18,0,18,20,18
22203,Manufacture of rubber and plastics products,Manufacture of plastics products,97736,Lorven Poly Films,178,15,0,15,20,15
24202,Manufacture of basic metals,Manufacture of basic precious and other non-ferrous metals,97822,Sagar Asia Pvt. Ltd. ( Unit-II),61,30,0,30,50,30
24203,Manufacture of basic metals,Manufacture of basic precious and other non-ferrous metals,97868,"Zensar Suppliers Pvt. Ltd.,",97.5,12,0,12,20,12
24202,Manufacture of basic metals,Manufacture of basic precious and other non-ferrous metals,97891,Bharat Metal Works,184,22,0,22,50,22
29301,Manufacture of motor vehicles,Manufacture of parts and accessories for motor vehicles,62059,Rane Engine Valves Ltd.,7500,400,60,460,500,460
25920,Manufacture of fabricated metal products,Manufacture of other fabricated metal products; metalworking service,62080,Astra Diamond Tools Co. Pvt Ltd.,125,14,2,16,20,16
21001,Manufacture of pharmaceuticals,Manufacture of pharmaceuticals,62141,Medchal Chemicals & Pharmaceuticals (P) Ltd.,250,30,2,32,50,32
25920,Manufacture of fabricated metal products,Manufacture of other fabricated metal products; metalworking service,62160,Fine Fab Pvt. Ltd.,60,18,2,20,20,20
24103,Manufacture of basic metals,Manufacture of basic iron and steel,62171,Sarwotham Ispat Ltd.,9095.8,200,10,210,250,210
20223,Manufacture of chemicals and chemical products,Manufacture of other chemical products,62206,Hyderabad Electroplating works -II,125kv,10,6,16,20,16
25920,Manufacture of fabricated metal products,Manufacture of other fabricated metal products; metalworking service,62212,Asian Engg. Pvt. Ltd.,124,35,5,40,50,40
10402,Manufacture of food products,Manufacture of vegetable and animal oils and fats,62377,Century Oils Ltd.,74,13,3,16,20,16
21002,Manufacture of pharmaceuticals,Manufacture of pharmaceuticals,62407,Monarch Laboratories,50,25,0,25,50,25
23960,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,62572,Venkateswara Granite Industries,74,11,0,11,20,11
10402,Manufacture of food products,Manufacture of vegetable and animal oils and fats,62586,Supreme Lubricants Pvt. Ltd.,99,12,0,12,20,12
10732,Manufacture of food products,Manufacture of other food products,62642,Sampre Nutritions Ltd.,250,200,0,200,250,200
23960,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,62646,Navakar Rocks,150,15,0,15,20,15
27104,Manufacture of electrical equipment,Manufacture of electric motors,62662,ENSO Secutrack Ltd.,75,49,5,54,100,54
10719,Manufacture of food products,Manufacture of other food products,62663,Yum Yum Food Specialities,50,8,8,16,20,16
10732,Manufacture of food products,Manufacture of other food products,62707,Roys Industries Ltd.,250 KVA,210,10,220,250,220
21002,Manufacture of pharmaceuticals,Manufacture of pharmaceuticals,62738,Veco Labs Pvt. Ltd.,30,11,0,11,20,11
20133,Manufacture of chemicals and chemical products,Manufacture of basic chemicals,62740,Sheela Foam (P) Ltd.,629,400,0,400,500,400
25993,Manufacture of fabricated metal products,Manufacture of other fabricated metal products; metalworking service,62741,Standard Electrodes Pvt Ltd.,132,22,0,22,50,22
13111,Manufacture of textiles,Spinning,62743,Srinath Spinning Mills Ltd.,809,110,20,130,150,130
21001,Manufacture of pharmaceuticals,Manufacture of pharmaceuticals,62785,Posh Chemicals Pvt. Ltd.,396,35,0,35,50,35
11019,Manufacture of beverages,Manufacture of beverages,62898,Rhizome Distilleries Ltd.,75,145,25,170,250,170
23102,Manufacture of other non-metallic mineral products,Manufacture of glass and glass products,67063,Indus Insul Pvt. Ltd.,60,16,0,16,20,16
25920,Manufacture of fabricated metal products,Manufacture of other fabricated metal products; metalworking service,67083,Mechtrolin Industries,36,6,0,6,9,6
25920,Manufacture of fabricated metal products,Manufacture of other fabricated metal products; metalworking service,67151,Gurupreet Galvanising  Pvt. Ltd.,170,24,0,24,50,24
22191,Manufacture of rubber and plastics products,Manufacture of rubber products,67177,Delta Rubber Products Pvt.Ltd,300,20,5,25,50,25
27102,Manufacture of electrical equipment,Manufacture of electric motors,67224,Vidyut Control Systems Pvt. Ltd.,150,125,3,128,150,128
10309,Manufacture of food products,Processing and preserving of fruit and vegetables,67263,Gubba Cold Storage Pvt. Ltd.,320KV,12,0,12,20,12
22203,Manufacture of rubber and plastics products,Manufacture of plastics products,67299,Andhra Expanded Polystyrene Pvt. Ltd,180,20,10,30,50,30
22191,Manufacture of rubber and plastics products,Manufacture of rubber products,67356,Nirmal Rubber Industries,150,15,0,15,20,15
21002,Manufacture of pharmaceuticals,Manufacture of pharmaceuticals,67389,Livin Formulations,40,8,7,15,20,15
25999,Manufacture of fabricated metal products,Manufacture of other fabricated metal products; metalworking service,67404,Thirumala Metal Sections Pvt. Ltd.,35,10,0,10,20,10
23999,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,67405,Phenolm India Pvt. Ltd.,66,12,1,13,20,13
22204,Manufacture of rubber and plastics products,Manufacture of plastics products,67504,Neeharika Industries Pvt Ltd.,943,56,0,56,100,56
18200,Printing and reproduction of recorded media,Reproduction of recorded media,67521,Aditya Music India Ltd.,48,12,2,14,20,14
21001,Manufacture of pharmaceuticals,Manufacture of pharmaceuticals,67608,Ace Ketones Pvt. Ltd.,75,24,0,24,50,24
21002,Manufacture of pharmaceuticals,Manufacture of pharmaceuticals,67646,JVR  Fine Chemie Pvt. Ltd.,95,17,1,18,50,18
22202,Manufacture of rubber and plastics products,Manufacture of plastics products,97681,SPC Fab Pvt. Ltd.,220,20,2,22,50,22
21001,Manufacture of pharmaceuticals,Manufacture of pharmaceuticals,67696,Nippy Chemicals,63,10,4,14,20,14
23999,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,67697,Nava Durga Fullers Earth,150,8,2,10,20,10
21001,Manufacture of pharmaceuticals,Manufacture of pharmaceuticals,67762,Issar Pharmaceuticals Pvt. Ltd.,74,11,2,13,20,13
16213,Manufacture of wood and products of wood and cork,Manufacture of products of wood,67774,Glam Wood Industries,146,25,5,30,50,30
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,67926,Prasad Seeds Pvt. Ltd.,360,81,30,111,150,111
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,67927,Prasad Seed Farm Industries,119,6,15,21,50,21
17012,Manufacture of paper and paper products,Manufacture of paper and paper products,48673,Sri Vani Print  & Pack,65,20,0,20,20,20
18121,Printing and reproduction of recorded media,Printing and service activities related to printing,67981,Bhasker Book Manufacturers,146,101,20,121,150,121
23955,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,67987,RMC Readymix India Pvt.Ltd,179,10,0,10,20,10
17012,Manufacture of paper and paper products,Manufacture of paper and paper products,48826,SVPCL Ltd,64,50,0,50,50,50
16213,Manufacture of wood and products of wood and cork,Manufacture of products of wood,97052,Astha Plywood,44,23,0,23,50,23
21001,Manufacture of pharmaceuticals,Manufacture of pharmaceuticals,97109,Perkin Laboratories,180,70,0,70,100,70
10309,Manufacture of food products,Processing and preserving of fruit and vegetables,97113,Thirumala Tirupathi Agro Cold Storage (P) Ltd.,255,7,3,10,20,10
24103,Manufacture of basic metals,Manufacture of basic iron and steel,97125,Sarwottam Ispat Ltd.,6610,111,0,111,150,111
23999,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,97128,Chargewave Energykem (P) Ltd.,73,15,1,16,20,16
21001,Manufacture of pharmaceuticals,Manufacture of pharmaceuticals,97208,Nippy Chemicals,70,10,5,15,20,15
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97242,Prasad Seeds Pvt. Ltd. -III,119,24,8,32,50,32
22203,Manufacture of rubber and plastics products,Manufacture of plastics products,97282,Subra Industries,74,10,4,14,20,14
21001,Manufacture of pharmaceuticals,Manufacture of pharmaceuticals,97309,Lepranal Pharmaceuticals Pvt. Ltd.,46.5,12,2,14,20,14
31005,Manufacture of furniture,Manufacture of furniture,97318,ASPY Bedding Products,20,10,0,10,20,10
21002,Manufacture of pharmaceuticals,Manufacture of pharmaceuticals,97352,Sri Vani Fine Chemicals,70,14,0,14,20,14
21002,Manufacture of pharmaceuticals,Manufacture of pharmaceuticals,97367,Hyderabad Chemicals,70,14,0,14,20,14
21002,Manufacture of pharmaceuticals,Manufacture of pharmaceuticals,97373,Jagannath Mercantile Pvt. Ltd.,419,12,4,16,20,16
29201,Manufacture of motor vehicles,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,97435,Krupasai Coach Builders,45,10,0,10,20,20
20131,Manufacture of chemicals and chemical products,Manufacture of basic chemicals,97515,Pumax Chemicals Pvt. Ltd.,32,15,0,15,20,15
17012,Manufacture of paper and paper products,Manufacture of paper and paper products,32801,Vedadri Paper Mills India Pvt.Ltd.,3378,140,5,145,150,145
28191,Manufacture of machinery and equipment n.e.c.,Manufacture of general purpose machinery,97827,Rockwell Industries Ltd.,676.2,150,0,150,150,150
22209,Manufacture of rubber and plastics products,Manufacture of plastics products,97835,Varshini Polymers,89,20,0,20,20,20
20131,Manufacture of chemicals and chemical products,Manufacture of basic chemicals,97899,Someshwara Rubber Products,242.5,30,8,38,50,38
20119,Manufacture of chemicals and chemical products,Manufacture of basic chemicals,62142,Uni Royal Chemicals Pvt. Ltd.,233,23,0,23,50,23
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,62739,Ganga Kaveri Seeds Pvt. Ltd.,485,20,10,30,50,30
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97129,"Nunhems Vegitable Seeds Pvt.Ltd,",160,60,0,60,100,80
25920,Manufacture of fabricated metal products,Manufacture of other fabricated metal products; metalworking service,62990,Unicorn Industries Ltd.,433,150,10,160,250,160
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,67140,Santhoshi Seed Processing Unit,30,20,5,25,50,25
25910,Manufacture of fabricated metal products,Manufacture of other fabricated metal products; metalworking service,67225,Salasar Enterprises,65,14,3,17,20,17
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,67247,Kaveri Microtech Pvt.Ltd,111,10,15,25,50,25
10309,Manufacture of food products,Processing and preserving of fruit and vegetables,67962,SSS Warehousing & Supply Chain Solutions (P)Ltd,223,130,10,140,150,140
20231,Manufacture of chemicals and chemical products,Manufacture of other chemical products,97051,Bhagavati Outsourcing Pvt. Ltd.,40,15,15,30,50,30
